Sample,Amplitude(V)
1.680000000000000000e+02,4.991378475249443891e-01
1.690000000000000000e+02,4.956956956956957705e-01
1.700000000000000000e+02,4.922535438664471519e-01
1.710000000000000000e+02,4.888113920371984777e-01
1.720000000000000000e+02,4.853692402079499146e-01
1.730000000000000000e+02,4.799832090154670938e-01
1.740000000000000000e+02,4.730989053569699676e-01
1.750000000000000000e+02,4.662146016984726193e-01
1.760000000000000000e+02,4.593302980399754376e-01
1.770000000000000000e+02,4.566598856921437188e-01
1.780000000000000000e+02,4.549388097775194928e-01
1.790000000000000000e+02,4.532177338628951557e-01
1.800000000000000000e+02,4.511479221156642350e-01
1.810000000000000000e+02,4.442636184571668867e-01
1.820000000000000000e+02,4.380444961090123046e-01
1.830000000000000000e+02,4.346023442797636860e-01
1.840000000000000000e+02,4.311601924505151229e-01
1.850000000000000000e+02,4.277180406212665043e-01
1.860000000000000000e+02,4.242758887920179411e-01
1.870000000000000000e+02,4.208337369627693225e-01
1.880000000000000000e+02,4.154283315573640278e-01
1.890000000000000000e+02,4.085440278988666796e-01
1.900000000000000000e+02,4.016597242403695533e-01
1.910000000000000000e+02,3.947754205818722051e-01
1.920000000000000000e+02,3.907197520100745280e-01
1.930000000000000000e+02,3.872776001808260204e-01
1.940000000000000000e+02,3.838354483515773463e-01
1.950000000000000000e+02,3.802253866769996216e-01
1.960000000000000000e+02,3.744884669615852202e-01
1.970000000000000000e+02,3.687515472461709298e-01
1.980000000000000000e+02,3.630146275307565285e-01
1.990000000000000000e+02,3.572777078153422381e-01
2.000000000000000000e+02,3.515407880999277812e-01
2.010000000000000000e+02,3.460621912234815301e-01
2.020000000000000000e+02,3.408989634796085189e-01
2.030000000000000000e+02,3.357357357357356742e-01
2.040000000000000000e+02,3.305725079918627185e-01
2.050000000000000000e+02,3.254092802479898738e-01
2.060000000000000000e+02,3.202460525041168626e-01
2.070000000000000000e+02,3.150828247602440180e-01
2.080000000000000000e+02,3.099195970163710623e-01
2.090000000000000000e+02,3.044282992670088728e-01
2.100000000000000000e+02,2.989208563402110386e-01
2.110000000000000000e+02,2.934134134134133709e-01
2.120000000000000000e+02,2.879059704866155367e-01
2.130000000000000000e+02,2.823985275598178135e-01
2.140000000000000000e+02,2.768910846330199793e-01
2.150000000000000000e+02,2.713836417062223116e-01
2.160000000000000000e+02,2.658761987794244774e-01
2.170000000000000000e+02,2.603687558526268098e-01
2.180000000000000000e+02,2.553951801263628640e-01
2.190000000000000000e+02,2.508056443540315206e-01
2.200000000000000000e+02,2.462161085817000106e-01
2.210000000000000000e+02,2.416265728093686393e-01
2.220000000000000000e+02,2.370370370370371294e-01
2.230000000000000000e+02,2.324475012647057581e-01
2.240000000000000000e+02,2.256579159804967538e-01
2.250000000000000000e+02,2.187736123219996831e-01
2.260000000000000000e+02,2.118893086635023626e-01
2.270000000000000000e+02,2.053666569795604413e-01
2.280000000000000000e+02,2.002034292356874301e-01
2.290000000000000000e+02,1.950402014918146132e-01
2.300000000000000000e+02,1.898769737479416020e-01
2.310000000000000000e+02,1.847137460040687573e-01
2.320000000000000000e+02,1.795505182601957739e-01
2.330000000000000000e+02,1.743872905163229292e-01
2.340000000000000000e+02,1.692240627724499458e-01
2.350000000000000000e+02,1.636518238668777936e-01
2.360000000000000000e+02,1.579149041514633645e-01
2.370000000000000000e+02,1.521779844360490741e-01
2.380000000000000000e+02,1.464410647206346450e-01
2.390000000000000000e+02,1.407041450052205489e-01
2.400000000000000000e+02,1.351738835609804512e-01
2.410000000000000000e+02,1.317317317317317771e-01
2.420000000000000000e+02,1.282895799024831029e-01
2.430000000000000000e+02,1.248474280732344288e-01
